"El Quijote","123","Novela","1605","Cervantes"
"Cien Años de Soledad","456","Realismo","1967","Gabriel García Márquez"
"La Odisea","789","Epica","-800","Homero"
"1984","101","Distopia","1949","George Orwell"
"Don Juan Tenorio","202","Teatro","1844","José Zorrilla"
"Rayuela","303","Realismo","1963","Julio Cortázar"
"Crimen y Castigo","404","Novela","1866","Fiódor Dostoievski"
"El Principito","505","Infantil","1943","Antoine de Saint-Exupéry"
"Los Miserables","606","Novela","1862","Victor Hugo"
"El Aleph","707","Cuento","1949","Jorge Luis Borges"
