Titulo,ISBN,Genero,Año,Autor
Cien Años de Soledad,978-84-376-0494-7,Realismo Magico,1967,Gabriel Garcia Marquez
El Señor de los Anillos: La Comunidad del Anillo,978-84-450-7274-4,Fantasia,1954,J.R.R. Tolkien
1984,978-84-9989-094-1,Distopia,1949,George Orwell
Orgullo y Prejuicio,978-84-9105-070-4,Romance Clasico,1813,Jane Austen
Crimen y Castigo,978-84-376-0495-4,Novela Psicologica,MILOCHOCIENTOS,Fiodor Dostoievski
Un Mundo Feliz,978-84-450-7813-5,Distopia,Nulo,Aldous Huxley
El Principito,978-84-261-0810-0,Fabula,1943,Antoine de Saint-Exupery
Don Quijote de la Mancha (Volumen 1),978-84-233-5188-7,Clasico,1605,Miguel de Cervantes
Harry Potter y la Piedra Filosofal,978-84-7888-644-1,Fantasia Juvenil,2024 (Edición),J.K. Rowling
Rayuela,978-84-663-3632-4,Experimental,1963,Julio Cortazar
El Extranjero,978-84-339-2041-3,Filosofia,Cua-renta y dos,Albert Camus
Matar a un Ruiseñor,978-84-264-0738-4,Novela Social,1960,Harper Lee
Cronica de una Muerte Anunciada,978-84-9759-425-4,Novela Corta,1981,Gabriel Garcia Marquez
Cumbres Borrascosas,978-84-9105-091-9,Gotico/Romance,0,Emily Bronte
El Gran Gatsby,978-84-204-7463-2,Clasico Moderno,1925,F. Scott Fitzgerald
Mujercitas,978-84-261-0579-6,Novela de Formacion,1868-Publicacion,Louisa May Alcott
El Retrato de Dorian Gray,978-84-450-7690-2,Gotico,1890,Oscar Wilde
La Sombra del Viento,978-84-08-05701-1,Misterio/Thriller,Desconocido,Carlos Ruiz Zafon
Moby Dick,978-84-450-7461-8,Aventura,1851,Herman Melville
Dracula,978-84-9105-077-3,Terror Gotico,1897,Bram Stoker
Las Uvas de la Ira,978-84-345-0906-8,Realismo Social,1939,John Steinbeck
Anna Karenina,978-84-9105-004-9,Romance Clasico,,Leon Tolstoi
Fahrenheit 451,978-84-450-7541-7,Ciencia Ficcion,1953,Ray Bradbury
El Padrino,978-84-9759-335-6,Novela Negra,1969,Mario Puzo
La Metamorfosis,978-84-376-0935-5,Existencialismo,1915,Franz Kafka
Los Miserables (Tomo I),978-84-206-5544-6,Novela Historica,1862,Victor Hugo
