Titulo,ISBN,Genero,Año,Autor
Cien Años de Soledad,978-84-376-0494-7,Realismo Magico,1967,Gabriel Garcia Marquez
El Señor de los Anillos: La Comunidad del Anillo,978-84-450-7274-4,Fantasia,1954,J.R.R. Tolkien
1984,978-84-9989-094-1,Distopia,1949,George Orwell
Orgullo y Prejuicio,978-84-9105-070-4,Romance Clasico,1813,Jane Austen
Crimen y Castigo,978-84-376-0495-4,Novela Psicologica,1866,Fiodor Dostoievski
Un Mundo Feliz,978-84-450-7813-5,Distopia,1932,Aldous Huxley
El Principito,978-84-261-0810-0,Fabula,1943,Antoine de Saint-Exupery
Don Quijote de la Mancha (Volumen 1),978-84-233-5188-7,Clasico,1605,Miguel de Cervantes
Harry Potter y la Piedra Filosofal,978-84-7888-644-1,Fantasia Juvenil,1997,J.K. Rowling
Rayuela,978-84-663-3632-4,Experimental,1963,Julio Cortazar
La Metamorfosis,978-84-376-1005-4,Existencialismo,1915,Franz Kafka
Los Miserables,978-84-9105-101-5,Historica,1862,Victor Hugo
El Retrato de Dorian Gray,978-84-233-4562-6,Gotico,1890,Oscar Wilde
La Odisea,978-84-376-1105-1,Epopeya,800,Homero
Fahrenheit 451,978-84-9105-110-7,Ciencia Ficcion,1953,Ray Bradbury
Don Quijote de la Mancha (Volumen 2),978-84-233-5189-4,Clasico,1615,Miguel de Cervantes
El Hobbit,978-84-450-7360-4,Fantasia,1937,J.R.R. Tolkien
La Divina Comedia,978-84-376-1120-4,Poetico,1320,Dante Alighieri
La Iliada,978-84-376-1133-4,Epopeya,850,Homero
Moby Dick,978-84-9105-122-0,Aventura,1851,Herman Melville
Dracula,978-84-9105-130-5,Terror Clasico,1897,Bram Stoker
El Viejo y el Mar,978-84-9105-132-9,Novela Breve,1952,Ernest Hemingway
Cuentos de Amor, de Locura y de Muerte,978-84-376-1234-7,Realismo,1917,Horacio Quiroga
Pedro Páramo,978-84-9105-140-4,Realismo Magico,1955,Juan Rulfo
Ensayo Sobre la Ceguera,978-84-9105-142-8,Filosofico,1995,Jose Saramago
El Amor en los Tiempos del Cólera,978-84-9105-150-3,Realismo Magico,1985,Gabriel Garcia Marquez
Los Hermanos Karamazov,978-84-9105-152-7,Drama Psicologico,1880,Fiodor Dostoievski
